emotion,sent_id,f0_mean,f0_std,f0_range,voiced_ratio,duration,words_per_sec,syllables_per_sec,rms_mean,rms_std,pause_count,pause_total,pause_max,spectral_centroid,mfcc_mean,mfcc_std,jitter_proxy,shimmer_proxy
neutral,s5,122.71902514457008,36.20459802543975,198.3760533922179,0.8120805369127517,3.16,0.0,0.0,0.0955699160695076,0.06687244027853012,0.0,0.32266666666666666,0.0,2335.6408612610344,-10.525053024291992,88.81168365478516,0.045823000779878095,0.16900069073429896
sad,s1,115.47128001392738,25.71713768153832,120.77829138353033,0.8345323741007195,2.96,0.0,0.0,0.10821422189474106,0.05825108289718628,0.0,0.16533333333333333,0.0,2215.302352725337,-7.7195725440979,83.60220336914062,0.04532452104447749,0.19041898943498897
sad,s2,147.98459211459004,45.29659521688126,165.3773522977976,0.6716417910447762,2.84,0.0,0.0,0.11059951782226562,0.06085774675011635,1.0,0.19466666666666665,0.021333333333333333,2243.472163111587,-12.304883003234863,86.97406768798828,0.03202375182648477,0.13251338564909151
sad,s3,135.28513998933607,43.387883280219775,171.31060215611467,0.5740740740740741,3.44,0.0,0.0,0.09049303829669952,0.06190969794988632,1.0,0.3893333333333333,0.021333333333333333,2367.946744055425,-11.704506874084473,88.26092529296875,0.04468562416796727,0.21981154385221688
sad,s4,138.75091283987226,46.739104519574106,183.51633313302366,0.7153284671532847,2.92,0.0,0.0,0.11142615228891373,0.061143387109041214,0.0,0.14666666666666667,0.0,1840.3793242276051,-9.287973403930664,86.7816390991211,0.05930193886392169,0.1889172879725442
sad,s5,122.60983308083614,27.702225117888297,120.49932866766119,0.7578125,2.72,0.0,0.0,0.09684622287750244,0.06404251605272293,1.0,0.33066666666666666,0.064,2151.295336218682,-10.336785316467285,89.7210922241211,0.04518543574782228,0.17313845677475345
surprised,s1,161.33809124642903,56.363403762811686,216.2313241894494,0.8548387096774194,2.64,0.0,0.0,0.1262563318014145,0.0657363012433052,0.0,0.058666666666666666,0.0,2098.9281795779043,-8.537896156311035,78.20326232910156,0.0662998986822307,0.1892735547195326
surprised,s2,189.22402155012523,52.624487213412706,175.79572197818516,0.49019607843137253,2.16,0.0,0.0,0.10722505301237106,0.07738469541072845,0.0,0.368,0.0,1870.7491583960393,-17.26515007019043,97.85602569580078,0.04265682775495819,0.12936513311841422
surprised,s3,173.81468205278208,44.271019306185515,176.34047665367967,0.5630252100840336,2.52,0.0,0.0,0.09918130189180374,0.055718984454870224,0.0,0.10933333333333334,0.0,2384.443542614326,-11.456038475036621,83.79949188232422,0.06068662303271028,0.22433303409495817
surprised,s4,171.9985819846021,62.51198328049137,152.1905646765726,0.21311475409836064,2.6,0.0,0.0,0.12208575755357742,0.07830829173326492,0.0,0.33866666666666667,0.0,1859.2632197187827,-10.544596672058105,87.77322387695312,0.05254907556535742,0.19628522261254627
surprised,s5,171.15953607048718,51.87925802620397,205.62018209644856,0.8584070796460177,2.4,0.0,0.0,0.14084847271442413,0.07410504668951035,0.0,0.13866666666666666,0.0,2282.6538734765395,-9.761042594909668,73.81832122802734,0.06165189851906581,0.20169498337418507
