model,feature,condition_a,condition_b,mean_a,mean_b,t,p,p_bonferroni_6,cohens_d
xtts,f0_std,cold,primed_owl,27.2287,27.9068,-0.232134,0.8224482381,1.0,-0.146814
xtts,f0_std,cold,primed_death,27.2287,26.90152,0.102055,0.9214753682,1.0,0.064545
xtts,f0_std,primed_neutral,primed_owl,30.13146,27.9068,0.577565,0.5810371892,1.0,0.365284
xtts,f0_std,primed_neutral,primed_death,30.13146,26.90152,0.793212,0.4512712339,1.0,0.501672
xtts,f0_std,primed_owl,primed_death,27.9068,26.90152,0.292404,0.7775761114,1.0,0.184933
xtts,f0_range,cold,primed_neutral,180.84748,165.1305,0.402754,0.6999824698,1.0,0.254724
xtts,f0_range,cold,primed_owl,180.84748,148.29218,0.900622,0.4069994224,1.0,0.569603
xtts,f0_range,cold,primed_death,180.84748,156.76518,0.567731,0.5867234304,1.0,0.359065
xtts,f0_range,primed_neutral,primed_owl,165.1305,148.29218,0.69638,0.5085306095,1.0,0.440429
xtts,f0_range,primed_neutral,primed_death,165.1305,156.76518,0.254862,0.8056727646,1.0,0.161189
xtts,f0_range,primed_owl,primed_death,148.29218,156.76518,-0.288736,0.782457133,1.0,-0.182612
xtts,speech_rate,cold,primed_neutral,8.73832,11.0697,-1.200589,0.2923818017,1.0,-0.759319
xtts,speech_rate,cold,primed_owl,8.73832,8.43416,0.56143,0.5904209617,1.0,0.35508
xtts,speech_rate,cold,primed_death,8.73832,9.2032,-0.797273,0.4503200555,1.0,-0.50424
xtts,speech_rate,primed_neutral,primed_owl,11.0697,8.43416,1.347305,0.2433464431,1.0,0.85211
xtts,speech_rate,primed_neutral,primed_death,11.0697,9.2032,0.948423,0.3911907791,1.0,0.599835
xtts,speech_rate,primed_owl,primed_death,8.43416,9.2032,-1.222537,0.2567601928,1.0,-0.7732
xtts,pause_count,cold,primed_neutral,1.6,1.6,0.0,1.0,1.0,0.0
xtts,pause_count,cold,primed_owl,1.6,1.0,2.44949,0.0704839969,0.4229039815,1.549193
xtts,pause_count,cold,primed_death,1.6,1.4,0.57735,0.579584,1.0,0.365148
xtts,pause_count,primed_neutral,primed_owl,1.6,1.0,2.44949,0.0704839969,0.4229039815,1.549193
xtts,pause_count,primed_neutral,primed_death,1.6,1.4,0.57735,0.579584,1.0,0.365148
xtts,pause_count,primed_owl,primed_death,1.0,1.4,-1.632993,0.1778078084,1.0,-1.032796
xtts,pause_duration_mean,cold,primed_neutral,0.514,0.486,0.501723,0.6301154202,1.0,0.317317
xtts,pause_duration_mean,cold,primed_owl,0.514,0.552,-1.073729,0.3379204953,1.0,-0.679086
xtts,pause_duration_mean,cold,primed_death,0.514,0.528,-0.300537,0.7714977015,1.0,-0.190076
xtts,pause_duration_mean,primed_neutral,primed_owl,0.486,0.552,-1.479508,0.2087766141,1.0,-0.935723
xtts,pause_duration_mean,primed_neutral,primed_death,0.486,0.528,-0.778914,0.4607389439,1.0,-0.492628
xtts,pause_duration_mean,primed_owl,primed_death,0.552,0.528,0.742248,0.4946738722,1.0,0.469439
xtts,rms_energy,cold,primed_neutral,0.111163,0.100244,2.151856,0.092440193,0.5546411582,1.360953
xtts,rms_energy,cold,primed_owl,0.111163,0.110423,0.332849,0.7505704263,1.0,0.210512
xtts,rms_energy,cold,primed_death,0.111163,0.10514,3.145598,0.0170501813,0.1023010879,1.989451
xtts,rms_energy,primed_neutral,primed_owl,0.100244,0.110423,-1.903486,0.1127918169,0.6767509012,-1.20387
xtts,rms_energy,primed_neutral,primed_death,0.100244,0.10514,-0.936578,0.3933157902,1.0,-0.592344
xtts,rms_energy,primed_owl,primed_death,0.110423,0.10514,2.06962,0.0735992532,0.4415955192,1.308943
xtts,spectral_centroid,cold,primed_neutral,1521.77904,1494.22292,0.721018,0.4943534688,1.0,0.456012
xtts,spectral_centroid,cold,primed_owl,1521.77904,1531.44736,-0.310551,0.7641177066,1.0,-0.19641
xtts,spectral_centroid,cold,primed_death,1521.77904,1501.02784,0.595809,0.5688376163,1.0,0.376823
xtts,spectral_centroid,primed_neutral,primed_owl,1494.22292,1531.44736,-0.951802,0.3718372437,1.0,-0.601972
xtts,spectral_centroid,primed_neutral,primed_death,1494.22292,1501.02784,-0.161595,0.8757078408,1.0,-0.102202
xtts,spectral_centroid,primed_owl,primed_death,1531.44736,1501.02784,0.849608,0.4211047353,1.0,0.53734
