model,window_idx,time_start,time_end,f0_mean,f0_std,cpp_mean,spectral_flatness,spectral_tilt_ratio,mfcc_mean,rms_mean,spectral_centroid,voiced_frame_ratio,too_little_voicing,has_clipping
xtts,3,45.0,60.0,193.4067114193135,15.417320507156441,12.235922029505293,,2.152951807913259,9.92464597181926,0.10896787792444229,1396.1076333859303,0.24849699398797595,False,False
xtts,4,60.0,75.0,197.0197623415501,16.040317572690235,13.344758452816306,,1.9737871335058939,8.917054121082735,0.11468692123889923,1504.6970344675813,0.2738810955243821,False,True
xtts,5,75.0,90.0,195.91870860590143,16.623042549089487,12.384597644387824,,2.0245720010826487,8.26648683495023,0.1083989068865776,1499.921779808218,0.2631930527722111,False,False
xtts,6,90.0,105.0,199.3431268710169,20.03383069985093,12.273830997082118,,2.053443310153478,9.460730227057892,0.11388164013624191,1357.9646503003196,0.2631930527722111,False,True
xtts,7,105.0,120.0,192.76132354152097,15.854985111416715,13.112196844977671,,1.8134977368038978,8.643792967478177,0.10623511672019958,1590.3502468826368,0.23981295925183702,False,False
xtts,8,120.0,135.0,197.66745007402554,17.139392997593003,13.424433617317359,,2.123908180081272,8.07561259505839,0.11582240462303162,1478.8478841545746,0.29191716766867065,False,False
xtts,9,135.0,150.0,196.16393171660545,18.137363612260692,13.17962728150485,,2.2871094410341293,9.02878645097863,0.1127418577671051,1381.4644945115292,0.2939211756847027,False,False
xtts,10,150.0,165.0,198.23787411574602,16.86953176897888,12.378439575348654,,2.387218643047198,8.64877394162304,0.11790430545806885,1322.548941989193,0.32798931195724784,False,False
xtts,11,165.0,180.0,195.00424229713133,16.341422825780654,12.9905230024488,,2.0941277681310315,10.065381644553607,0.11179645359516144,1526.8374266097971,0.2545090180360721,False,False
xtts,12,180.0,195.0,198.4025740297476,17.49944398870462,12.760143464645264,,1.8487935278486984,8.774782547468725,0.11407168209552765,1547.519133350726,0.2892451569806279,False,False
xtts,13,195.0,210.0,203.62999517207297,19.83018876004336,12.382317718971063,,2.1644014424011933,8.309028739805315,0.11844992637634277,1393.0806010341444,0.3026052104208417,False,False
xtts,14,210.0,225.0,194.9688910597411,15.780311140323974,12.813530988513502,,1.9483216197806543,9.422619794251283,0.10454553365707397,1526.3457929200074,0.23914495657982632,False,False
xtts,15,225.0,240.0,197.056091725435,18.538442347633215,12.323010181334707,,1.7296572535814987,8.316032376829844,0.10395417362451553,1596.1189250072775,0.25250501002004005,False,True
xtts,16,240.0,255.0,200.02017525933235,17.144057975234485,12.367317341790063,,2.060964874930969,9.0006503695447,0.11312048137187958,1487.6098853916526,0.2818971275885104,False,False
xtts,17,255.0,270.0,195.59534131483645,18.953281917437995,13.03650789116589,,1.9476503069216378,8.91374557897512,0.10903956741094589,1428.4077460856754,0.22645290581162325,False,False
xtts,18,270.0,285.0,199.50660898168871,20.765828423700402,13.099451693684646,,1.8682148851071703,8.669568040765027,0.11363749206066132,1512.0647215594352,0.2745490981963928,False,False
xtts,19,285.0,300.0,196.12923022113299,14.388283595822053,13.032720465088316,,1.7470141279271352,8.542024378562726,0.12095603346824646,1644.406714961074,0.301937207748831,False,False
xtts,20,300.0,315.0,199.00423983200366,19.533915228635077,12.584585354224103,,1.8651112682673927,8.652713398174944,0.11495846509933472,1544.2575315312524,0.23446893787575152,False,False
kokoro,0,0.0,15.0,213.69881260253118,33.59171237723433,13.49694235206302,,1.1498268737152428,0.6113212966741688,0.04474889859557152,1920.0335390225584,0.18370073480293922,False,False
kokoro,1,15.0,30.0,210.84315484950378,30.61558663088343,12.277918798111255,,0.9940135178889987,0.9445957905788845,0.03826109692454338,2084.1659010166954,0.1229124916499666,False,False
kokoro,2,30.0,45.0,204.28503417727828,39.18869526518856,12.993641477656908,,1.0414026555532099,0.6686883266968227,0.03973020240664482,2011.452783139443,0.12758851035404142,False,False
kokoro,3,45.0,60.0,209.9938020564837,36.53570499569566,13.18283503690204,,1.3166323808919,1.262602360837496,0.042163144797086716,1916.8029315473818,0.18236472945891782,False,False
kokoro,4,60.0,75.0,213.38936976147085,37.30799073624246,12.80905590486671,,1.1583550695058844,0.7465628917475097,0.04186343774199486,2051.827681073935,0.19505678022712092,False,False
kokoro,5,75.0,90.0,215.30305558587042,33.73454576547626,12.493211318808179,,1.0800466921481457,0.4156830299416521,0.04262620583176613,1942.495241964696,0.13293253173012692,False,False
kokoro,6,90.0,105.0,197.41013611935978,29.313303905532635,12.485132499294199,,1.1254335268907691,1.1222215226677128,0.040474727749824524,1911.4347512237787,0.12224448897795591,False,False
kokoro,7,105.0,120.0,205.09188510331836,32.30471199782998,12.161658053147994,,1.1120928399142656,0.5837247868609492,0.041474636644124985,1970.0493268271957,0.17100868403473615,False,False
kokoro,8,120.0,135.0,212.19860938378153,37.53147019050827,12.230666780348944,,1.2221419172724144,0.8298857487379824,0.04008790850639343,2067.6534564380813,0.14362057448229792,False,False
kokoro,9,135.0,150.0,224.50531104686988,40.98464337970688,12.240782004050434,,1.2461340174326017,0.7319294121397418,0.04448342323303223,1847.317026013654,0.18036072144288579,False,False
kokoro,10,150.0,165.0,209.74496027486566,34.61444914971853,11.863394831615492,,1.1093115033490732,1.016628129128826,0.041304972022771835,2067.5936030167964,0.16499665998663995,False,False
kokoro,11,165.0,180.0,225.74341093503295,40.920739522377225,12.620672495648272,,1.0383804261319654,0.20863745593076835,0.04135306179523468,2098.670774304406,0.17034068136272545,False,False
kokoro,12,180.0,195.0,205.53517531035752,34.21063532527514,14.109451379196315,,1.1866687563973528,0.9952493265913996,0.03971602022647858,1900.7225355550152,0.1396125584502338,False,False
kokoro,13,195.0,210.0,218.31005796786397,38.32396387952327,13.519424597392229,,1.101069271130772,0.8929573802425567,0.041745949536561966,2061.321503549885,0.14696058784235136,False,False
kokoro,14,210.0,225.0,205.9650081404076,38.11302856201007,13.223431293624985,,0.9980403967580032,0.6838525219181031,0.04102843627333641,2018.980647787352,0.12358049432197729,False,False
kokoro,15,225.0,240.0,214.10810974321683,32.231559726674455,11.91368903412886,,1.1965287306021501,0.6678964782856571,0.04315919429063797,2169.9269998046943,0.18637274549098196,False,False
kokoro,16,240.0,255.0,214.22836322959895,39.14053323060766,12.401962931251658,,1.1881591483896512,1.2208651889136144,0.04221552237868309,1787.0634610667175,0.1402805611222445,False,False
kokoro,17,255.0,270.0,212.703795590979,34.17150290906594,13.39706234537565,,1.1107482218360514,1.077997584125943,0.03973923996090889,2050.711850930549,0.13627254509018036,False,False
kokoro,18,270.0,285.0,213.25036639578892,31.94714714183663,13.17496334618437,,1.020507887628193,0.36978127138936945,0.04146989807486534,2083.384863909008,0.17501670006680026,False,False
kokoro,19,285.0,300.0,211.03430279841712,38.94248376837398,12.620940554754675,,1.1987576274279266,0.6124175789279453,0.04319071024656296,1982.4969731502583,0.16098864395457582,False,False
